dataset,algorithm,accuracy_mean,accuracy_std,precision_mean,precision_std,recall_mean,recall_std,f1_mean,f1_std,roc_auc_mean,roc_auc_std,mcc_mean,mcc_std
NSL-KDD,Logistic Regression,0.9809,0.0016,0.9783,0.0034,0.981,0.0026,0.9796,0.0017,0.9965,0.001,0.9617,0.0032
NSL-KDD,Decision Tree,0.9926,0.0018,0.99,0.0033,0.9942,0.002,0.9921,0.0019,0.9902,0.003,0.9852,0.0037
NSL-KDD,Random Forest,0.9967,0.0014,0.9983,0.002,0.9947,0.0027,0.9965,0.0015,0.9998,0.0001,0.9934,0.0027
NSL-KDD,Gradient Boosting,0.9953,0.0004,0.9959,0.0016,0.994,0.002,0.995,0.0004,0.9996,0.0003,0.9906,0.0008
NSL-KDD,SVM (RBF),0.9876,0.0018,0.9836,0.0021,0.99,0.0025,0.9868,0.0019,0.9979,0.0006,0.9751,0.0036
Phishing,Logistic Regression,0.8012,0.0109,0.9194,0.0064,0.6602,0.02,0.7684,0.0152,0.8648,0.0094,0.6279,0.0193
Phishing,Decision Tree,0.8262,0.0065,0.9764,0.0189,0.6692,0.0222,0.7936,0.011,0.878,0.0098,0.6877,0.0106
Phishing,Random Forest,0.8587,0.0072,0.9308,0.017,0.7758,0.0256,0.8457,0.0106,0.92,0.0064,0.7281,0.0115
Phishing,Gradient Boosting,0.8394,0.0127,0.9505,0.0155,0.7168,0.0344,0.8165,0.0191,0.9025,0.0072,0.7008,0.0189
Phishing,SVM (RBF),0.8323,0.0096,0.9771,0.0069,0.6806,0.0193,0.8022,0.0136,0.8827,0.0079,0.6976,0.0161
Spambase,Logistic Regression,0.9287,0.008,0.8952,0.0167,0.9283,0.0178,0.9112,0.0098,0.974,0.0028,0.8524,0.0164
Spambase,Decision Tree,0.92,0.01,0.8847,0.0265,0.9178,0.0066,0.9006,0.0107,0.9297,0.0069,0.8346,0.0191
Spambase,Random Forest,0.9454,0.0053,0.9521,0.008,0.9073,0.0134,0.9291,0.0072,0.9837,0.0032,0.8856,0.011
Spambase,Gradient Boosting,0.9515,0.004,0.9458,0.007,0.9305,0.0148,0.938,0.0057,0.9852,0.0029,0.8984,0.0086
Spambase,SVM (RBF),0.9391,0.0018,0.9253,0.0082,0.92,0.0073,0.9226,0.0021,0.9774,0.0037,0.8725,0.0036
