accuracy,precision,recall,f1,roc_auc,mcc,dataset,algorithm,seed
0.9772,0.9735945485519591,0.9777587681779298,0.9756722151088348,0.9965512786812337,0.954227327036655,NSL-KDD,Logistic Regression,42
0.9736,0.9670050761421319,0.9769230769230769,0.9719387755102041,0.9954469507101086,0.9470594762589142,NSL-KDD,Logistic Regression,7
0.976,0.9719148936170213,0.9769033361847733,0.9744027303754266,0.9941295899132292,0.9518236984106831,NSL-KDD,Logistic Regression,123
0.982,0.9778911564625851,0.9837467921300257,0.9808102345415778,0.9969876711104998,0.9638765967516989,NSL-KDD,Logistic Regression,2024
0.98,0.9761904761904762,0.9811965811965812,0.9786871270247229,0.9976151918257182,0.9598590135249797,NSL-KDD,Logistic Regression,99
0.996,0.9957228400342173,0.9957228400342173,0.9957228400342173,0.9944300515637181,0.9919662660297094,NSL-KDD,Decision Tree,42
0.9932,0.989804587935429,0.9957264957264957,0.9927567106945037,0.9927128719233982,0.9863645605236724,NSL-KDD,Decision Tree,7
0.992,0.9906063193851409,0.9923011120615911,0.9914529914529915,0.9884249960956053,0.9839354746025516,NSL-KDD,Decision Tree,123
0.994,0.9914821124361158,0.9957228400342173,0.9935979513444302,0.9923634538372006,0.9879605012797833,NSL-KDD,Decision Tree,2024
0.9952,0.9923469387755102,0.9974358974358974,0.9948849104859335,0.9939274468221837,0.9903749853219628,NSL-KDD,Decision Tree,99
0.9976,0.9991416309012876,0.9957228400342173,0.9974293059125964,0.999882386134675,0.9951838962265834,NSL-KDD,Random Forest,42
0.9972,0.9991416309012876,0.9948717948717949,0.9970021413276231,0.9997811837285522,0.9943835470692459,NSL-KDD,Random Forest,7
0.9976,0.9991416309012876,0.9957228400342173,0.9974293059125964,0.9999119502756857,0.9951838962265834,NSL-KDD,Random Forest,123
0.9964,0.9957264957264957,0.9965782720273738,0.9961522017956391,0.9997724846539613,0.9927703361476267,NSL-KDD,Random Forest,2024
0.9988,0.9991445680068435,0.9982905982905983,0.9987174005985464,0.9999636912794807,0.9975903271631871,NSL-KDD,Random Forest,99
0.9952,0.9965665236051502,0.9931565440547476,0.9948586118251928,0.999705001288611,0.9903626269916109,NSL-KDD,Gradient Boosting,42
0.9956,0.9974248927038627,0.9931623931623932,0.995289079229122,0.9995205963627016,0.9911695338591575,NSL-KDD,Gradient Boosting,7
